ssh aile;Device;Adresse-IP;Racine-nom-CVS;Numversion:1.7;DateRevision: 28/07/2022
LUCIA;I16-M-C00/CA/BAI.1103-MOS.3-CB;172.20.6.54;LUCIA_B1103_MOS3_parameters;;
LUCIA;I16-M-C00/CA/BAI.1103-MOS.4-CB;172.20.6.55;LUCIA_B1103_MOS4_parameters;;
;;;;;
MARS;D03-1-C00/CA/BAI.1240-MOS.1-CB;172.20.1.48;MARS_B1240_MOS1_parameters;;
MARS;D03-1-C00/CA/BAI.1240-MOS.2-CB;172.20.1.49;MARS_B1240_MOS2_parameters;;
MARS;D03-1-C00/CA/BAI.1240-MOS.3-CB;172.20.1.50;MARS_B1240_MOS3_parameters;;
MARS;D03-1-C00/CA/BAI.1240-MOS.4-CB;172.20.1.51;MARS_B1240_MOS4_parameters;;
MARS;D03-1-C00/CA/BAI.1241-MOS.1-CB;172.20.1.52;MARS_B1241_MOS1_parameters;;
MARS;D03-1-C00/CA/BAI.1242-MOS.1-CB;172.20.1.67;MARS_B1242_MOS1_parameters;;
MARS;D03-1-C00/CA/BAI.1243-MOS.1-CB;172.20.1.55;MARS_B1243_MOS1_parameters;;
MARS;D03-1-C00/CA/BAI.1243-MOS.2-CB;172.20.1.56;MARS_B1243_MOS2_parameters;;
MARS;D03-1-C00/CA/BAI.1243-MOS.3-CB;172.20.1.57;MARS_B1243_MOS3_parameters;;
MARS;D03-1-C00/CA/BAI.1243-MOS.4-CB;172.20.1.58;MARS_B1243_MOS4_parameters;;
MARS;D03-1-C00/CA/BAI.1244-MOS.1-CB;172.20.1.59;MARS_B1244_MOS1_parameters;;
MARS;D03-1-C00/CA/BAI.1244-MOS.2-CB;172.20.1.60;MARS_B1244_MOS2_parameters;;
MARS;D03-1-C00/CA/BAI.1244-MOS.3-CB;172.20.1.61;MARS_B1244_MOS3_parameters;;
MARS;D03-1-C00/CA/BAI.1244-MOS.5-CB;172.20.1.54;MARS_B1244_MOS5_parameters;;
MARS;D03-1-C00/CA/BAI.1245-MOS.1-CB;172.20.1.63;MARS_B1245_MOS1_parameters;;
MARS;D03-1-C00/CA/BAI.1245-MOS.2-CB;172.20.1.64;MARS_B1245_MOS2_parameters;;
MARS;D03-1-C00/CA/BAI.1245-MOS.3-CB;172.20.1.65;MARS_B1245_MOS3_parameters;;
MARS;D03-1-C00/CA/BAI.1245-MOS.4-CB;172.20.1.66;MARS_B1245_MOS4_parameters;;
MARS;D03-1-C00/CA/BAI.1245-MOS.5-CB;172.20.1.68;MARS_B1245_MOS5_parameters;;
;;;;;
METROLOGIE;D05-1-C00/CA/BAI.1321-MOS.1-CB;172.20.7.48;METROLOGIE_B1321_MOS1_parameters;;
METROLOGIE;D05-1-C00/CA/BAI.1321-MOS.2-CB;172.20.7.49;METROLOGIE_B1321_MOS2_parameters;;
METROLOGIE;D05-1-C00/CA/BAI.1321-MOS.3-CB;172.20.7.50;METROLOGIE_B1321_MOS3_parameters;;
METROLOGIE;D05-1-C00/CA/BAI.1321-MOS.4-CB;172.20.7.65;METROLOGIE_B1321_MOS4_parameters;;
METROLOGIE;D05-1-C00/CA/BAI.1322-MOS.1-CB;172.20.7.51;METROLOGIE_B1322_MOS1_parameters;;
METROLOGIE;D05-1-C00/CA/BAI.1322-MOS.2-CB;172.20.7.52;METROLOGIE_B1322_MOS2_parameters;;
METROLOGIE;D05-1-C00/CA/BAI.1322-MOS.3-CB;172.20.7.53;METROLOGIE_B1322_MOS3_parameters;;
